species,clr_cat,accession,bed ,replicate,fruit_number,fruit_id,ripeness,date_collected,brix,pH,seeds_per_fruit,diameter_mm,height_mm,diam_ht_ratio,fresh_weight,dry_weight,water_content_grams,water_content_percent,scanned_date,perimeter_inner,lobedness_degree_inner,pericarp_area_inner,pericarp_thickness_inner,fruit_and_surface,avg_red_outer,avg_green_outer,avg_blue_outer,avg_luminosity_outer,avg_L_value_outer,avg_a_value_outer,avg_b_value_outer,avg_hue_outer,avg_chroma_outer
SC,roy,SC-19,N,SC-19-N,01,SC-19-N-1,,07-13-2019,,,,,,,0.9624,0.0909,0.8721,90.5551,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,02,SC-19-N-2,,07-23-2019,,,,13.92,13.01,1.07,1.5018,0.1078,1.3941,92.8221,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,03,SC-19-N-3,,07-23-2019,,,,10.9,10.89,1.00,0.7146,0.0493,0.6651,93.1011,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,04,SC-19-N-4,,07-23-2019,,,,12.86,12.52,1.03,1.1563,0.0999,1.0561,91.3601,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,05,SC-19-N-5,,07-23-2019,,,,,, ,,,,,07-27-2019,694.0265,1.3472,0.0142,0.2466,sc-19-n-5-out,120.9838,88.7898,49.9082,80.4191,39.0966,7.8565,26.8247,73.6755,27.9516
SC,roy,SC-19,N,SC-19-N,06,SC-19-N-6,,07-23-2019,,,,,, ,,,,,07-27-2019,699.7838,0.7884,0.586,0.243,sc-19-n-6-out,113.1041,81.6829,44.064,73.9605,36.1577,8.1166,25.9176,72.611,27.1588
SC,roy,SC-19,N,SC-19-N,07,SC-19-N-7,,07-23-2019,,,,,, ,,,,,07-27-2019,709.725,1.1934,0.6135,0.221,sc-19-n-7-out,108.6035,81.286,44.8276,72.2018,35.5367,6.4877,24.6383,75.2478,25.4782
SC,roy,SC-19,N,SC-19-N,08,SC-19-N-8,,07-23-2019,,,40,13.95,13.58,1.03,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,09,SC-19-N-9,,07-23-2019,,,8,9.95,9.57,1.04,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,10,SC-19-N-10,,07-28-2019,,,41,14.07,13.57,1.04,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,11,SC-19-N-11,,07-28-2019,,,32,13.57,13.25,1.02,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,12,SC-19-N-12,,09-18-2019,,,38,12.2,11.23,1.09,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,13,SC-19-N-13,,08-06-2019,7.9,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,14,SC-19-N-14,,08-06-2019,9.2,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,15,SC-19-N-15,,08-06-2019,7.8,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,16,SC-19-N-16,,08-06-2019,7.3,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,N,SC-19-N,17,SC-19-N-17,,08-06-2019,7.8,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,01,SC-19-S-1,,07-18-2019,,,,12.55,11.89,1.06,0.9792,0.0812,0.8981,91.7081,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,02,SC-19-S-2,,07-18-2019,,,,12.33,11.66,1.06,0.9399,0.0982,0.8421,89.5521,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,03,SC-19-S-3,,07-18-2019,,,,11.53,10.52,1.10,0.7321,0.0548,0.6771,92.5151,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,04,SC-19-S-4,,07-23-2019,,,,,, ,,,,,07-27-2019,589.8427,0.9131,0.5953,0.2362,sc-19-s-4-out,117.4283,83.7321,47.8652,77.7841,37.3043,8.9953,25.4534,70.5364,26.9961
SC,roy,SC-19,S,SC-19-S,05,SC-19-S-5,,07-23-2019,,,,,, ,,,,,07-27-2019,644.5706,1.338,0.5844,0.2334,sc-19-s-5-out,115.6059,84.1796,49.5845,77.7359,37.2354,8.1155,24.455,71.6414,25.7664
SC,roy,SC-19,S,SC-19-S,06,SC-19-S-6,,07-23-2019,,,,,, ,,,,,07-27-2019,629.4996,2.0599,0.6021,0.2184,sc-19-s-6-out,116.8384,85.7874,49.2308,78.1479,37.8019,7.7412,25.3248,73.0028,26.4815
SC,roy,SC-19,S,SC-19-S,07,SC-19-S-7,,07-23-2019,,,17,11.77,11.11,1.06,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,08,SC-19-S-8,,07-23-2019,,,28,13.16,12.37,1.06,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,09,SC-19-S-9,,07-23-2019,,,16,12.38,11.33,1.09,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,10,SC-19-S-10,,09-08-2019,,,46,13.36,12.97,1.03,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,11,SC-19-S-11,,09-08-2019,,,44,12.81,12.12,1.06,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,12,SC-19-S-12,,08-07-2019,6.3,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,13,SC-19-S-13,,08-07-2019,6.4,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,14,SC-19-S-14,,08-07-2019,6.8,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,15,SC-19-S-15,,08-07-2019,6.9,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-19,S,SC-19-S,16,SC-19-S-16,,08-07-2019,6.5,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,01,SC-22-N-1,,07-13-2019,,,,,, ,1.5644,0.1179,1.4471,92.4641,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,02,SC-22-N-2,,07-13-2019,,,,14.9,14.35,1.04,1.905,0.16,1.7451,91.6011,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,03,SC-22-N-3,,07-13-2019,,,,13.45,11.53,1.17,1.0961,0.1021,0.9941,90.6851,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,04,SC-22-N-4,,07-13-2019,,,,13.8,12.38,1.11,,,,,07-15-2019,543.8011,2.1211,0.5485,0.2577,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,05,SC-22-N-5,,07-13-2019,,,,14.51,12.84,1.13,,,,,07-15-2019,546.73,1.084,0.5895,0.2317,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,06,SC-22-N-6,,07-23-2019,,,,,, ,,,,,07-27-2019,826.0092,1.3887,0.5529,0.2551,sc-22-n-6-out,110.7221,97.2434,44.1848,72.9037,40.1454,-1.5017,30.291,92.8382,30.3282
SC,roy,SC-22,N,SC-22-N,07,SC-22-N-7,,07-23-2019,,,,,, ,,,,,07-27-2019,715.725,0.4237,0.5286,0.2709,sc-22-n-7-out,103.3095,87.8986,43.8614,69.2571,36.8159,0.388,26.5198,89.1617,26.5226
SC,roy,SC-22,N,SC-22-N,08,SC-22-N-8,,07-23-2019,,,,,, ,,,,,07-27-2019,698.1686,1.0859,0.5381,0.2691,sc-22-n-8-out,113.3285,94.5299,44.5414,74.293,39.6831,1.0557,29.7832,87.97,29.8019
SC,roy,SC-22,N,SC-22-N,09,SC-22-N-9,,07-23-2019,,,35,15.61,13.12,1.19,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,10,SC-22-N-10,,07-23-2019,,,42,16.1,13.83,1.16,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,11,SC-22-N-11,,07-23-2019,,,8,12.66,11.4,1.11,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,12,SC-22-N-12,,09-02-2019,,,46,13.82,12.14,1.14,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,13,SC-22-N-13,,09-02-2019,,,41,13.32,12.1,1.10,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,14,SC-22-N-14,,08-06-2019,4.5,4.7,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,15,SC-22-N-15,,08-06-2019,4.3,4.5,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,16,SC-22-N-16,,08-06-2019,3.2,4.5,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,N,SC-22-N,17,SC-22-N-17,,08-06-2019,4.1,4.7,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,01,SC-22-S-1,,07-18-2019,,,,14.07,11.89,1.18,1.2294,0.0997,1.1301,91.8901,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,02,SC-22-S-2,,07-18-2019,,,,14.28,12.93,1.10,1.3629,0.1375,1.2251,89.9111,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,03,SC-22-S-3,,07-18-2019,,,,14.39,12.56,1.15,1.3599,0.1263,1.2341,90.7131,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,04,SC-22-S-4,,07-23-2019,,,,,, ,,,,,07-27-2019,769.3818,1.9687,0.5527,0.2543,sc-22-s-4-out,109.5865,103.3889,66.1086,82.6933,42.0863,-3.3143,21.638,98.7084,21.8904
SC,roy,SC-22,S,SC-22-S,05,SC-22-S-5,,07-23-2019,,,,,, ,,,,,07-27-2019,698.7544,1.1045,0.5416,0.2692,sc-22-s-5-out,110.1725,101.3276,58.9949,79.6119,41.4339,-2.6709,24.5782,96.2019,24.7229
SC,roy,SC-22,S,SC-22-S,06,SC-22-S-6,,07-23-2019,,,,,, ,,,,,07-27-2019,767.725,2.3295,0.5713,0.2512,sc-22-s-6-out,104.4617,104.1388,81.5238,87.9955,42.0252,-3.7611,13.0043,106.1311,13.5373
SC,roy,SC-22,S,SC-22-S,07,SC-22-S-7,,07-23-2019,,,23,14.6,12.31,1.19,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,08,SC-22-S-8,,07-23-2019,,,17,13.04,11.52,1.13,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,09,SC-22-S-9,,07-23-2019,,,20,14,11.86,1.18,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,10,SC-22-S-10,,08-26-2019,,,45,14.25,13.17,1.08,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,11,SC-22-S-11,,08-26-2019,,,20,13.88,12.25,1.13,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,12,SC-22-S-12,,08-19-2019,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,13,SC-22-S-13,,08-19-2019,4.2,4.5,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,14,SC-22-S-14,,08-19-2019,5.1,4.4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,15,SC-22-S-15,,08-19-2019,5.1,4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,16,SC-22-S-16,,08-19-2019,5.3,4.4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-22,S,SC-22-S,17,SC-22-S-17,,08-19-2019,3.9,4.4,,,,,,,,,,,,,,,,,,,,,,,
SC,roy,SC-31,N,SC-31-N,01,SC-31-N-1,,07-23-2019,,,,16.15,14.28,1.13,2.1239,0.105,2.0191,95.0561,,,,,,,,,,,,,,,
SC,roy,SC-31,N,SC-31-N,02,SC-31-N-2,,07-23-2019,,,,14.87,12.4,1.20,1.4198,0.1009,1.3191,92.8931,,,,,,,,,,,,,,,
