Sample_name,Species,Accession,Sp_ac,Rep ,Fruit_num,Clr_cat,Phylo_pos,Seed_source,Date_started,Date_planted,Date_first_flower,Days_first_flower,Date_first_ripe_fruit,Days_ripe_fruit,Days_flow_to_fruit,Date_collected,Diameter_mm,Length_mm,Diam_lgth_ratio,Fresh_weight_grams,Seed_count,Scanned_date,Pericarp_frozen_date,Frozen_in,Frozen_method,Ripeness,Include_in_analysis,Notes,Scanned_date,Image_scan_file_name,Perimeter_inside,Area_inside,Width Mid-height_inside,Maximum Width_inside,Height Mid-width_inside,Maximum Height_inside,Curved Height_inside,Lobedness Degree_inside,Tomato Pericarp Area_inside,Tomato Pericarp Area Ratio_inside,Tomato Pericarp Thickness_inside,Tomato Pericarp Thickness Ratio_inside,Average Red_inside,Average Green_inside,Average Blue_inside,Average Luminosity_inside,Average L Value_inside,Average a Value_inside,Average b Value_inside,Average Hue_inside,Average Chroma_inside,Perimeter_outside,Area_outside,Width Mid-height_outside,Maximum Width_outside,Height Mid-width_outside,Maximum Height_outside,Curved Height_outside,Lobedness Degree_outside,Tomato Pericarp Area_outside,Tomato Pericarp Area Ratio_outside,Tomato Pericarp Thickness_outside,Tomato Pericarp Thickness Ratio_outside,Average Red_outside,Average Green_outside,Average Blue_outside,Average Luminosity_outside,Average L Value_outside,Average a Value_outside,Average b Value_outside,Average Hue_outside,Average Chroma_outside
SA-05-A-01,SA,05,SA-05,A,01,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-20,139,80,2020-07-30,12.91,10.47,1.23,0.9222,2,2020-07-30,2020-07-30,foil,liquid nitrogen,ripe,include,,2020-07-30,sa-05-a-01-400dpi.tmt,658.0265,30703,208,209,184,185,198.5401,2.1125,7506,0.2445,12.0455,0.1971,104.1571,114.6834,63.5602,83.9528,45.1269,-10.8805,26.7176,112.1581,28.8481,680.4285,30170,204,210,176,178,221.2856,2.7551,13539,0.4488,22.3633,0.201,117.1098,116.4803,98.3495,102.0466,47.0088,-1.4833,10.6173,97.9529,10.7205
SA-05-A-02,SA,05,SA-05,A,02,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-20,139,80,2020-07-30,12.09,10.67,1.13,0.8442,3,2020-07-30,2020-07-30,foil,liquid nitrogen,ripe,include,,2020-07-30,sa-05-a-02-400dpi.tmt,647.9848,29554,201,201,185,185,216.8319,1.5801,6735,0.2279,10.9461,0.199,102.2472,112.0432,60.7149,81.3781,44.1298,-10.5483,26.9164,111.3998,28.9095,656.1859,28858,200,200,178,179,221.8538,2.0791,12968,0.4494,22.3236,0.195,116.6614,114.5545,95.893,100.4263,46.3588,-0.9156,11.0425,94.7401,11.0804
SA-05-A-03,SA,05,SA-05,A,03,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-20,139,80,2020-07-30,13.9,10.95,1.27,1.1097,3,2020-07-30,2020-07-30,foil,liquid nitrogen,ripe,include,,2020-07-30,sa-05-a-03-400dpi.tmt,705.0975,34873,221,225,194,194,222.9969,2.2605,9125,0.2617,13.7286,0.1991,100.5056,111.315,70.7371,85.7058,43.9369,-9.7057,21.3475,114.449,23.4503,726.127,34226,221,223,195,196,229.8178,2.3647,15367,0.449,23.8554,0.1991,119.063,120.5282,97.6083,103.3959,48.3264,-3.1669,12.9175,103.7751,13.3
SA-05-A-04,SA,05,SA-05,A,04,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-20,139,80,2020-08-05,13.55,12.15,1.12,1.1265,11,2020-08-05,2020-08-05,foil,liquid nitrogen,ripe,include,,2020-08-05,sa-05-a-04-400dpi.tmt,717.2397,36645,212,212,219,219,249.2483,0.8575,11383,0.3106,17.1057,0.2028,105.5944,113.1111,65.9483,84.3697,44.7615,-9.1672,25.1588,110.0205,26.7769,728.5118,33562,203,209,209,211,247.304,1.5535,15061,0.4488,23.2057,0.2069,107.3511,109.3932,82.2813,90.5833,43.9234,-3.9829,15.1571,104.7231,15.6717
SA-05-A-05,SA,05,SA-05,A,05,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-20,139,80,2020-08-05,10.99,9.42,1.17,0.552,4,2020-08-05,2020-08-05,foil,liquid nitrogen,ripe,include,,2020-08-05,sa-05-a-05-400dpi.tmt,563.9432,23013,165,165,176,176,184.3378,1.2462,7614,0.3309,14.6573,0.2061,101.0001,111.2563,63.3337,82.2595,43.8688,-10.3745,25.1826,112.3902,27.2359,556.1442,21671,157,159,171,172,193.4155,2.2807,9778,0.4512,19.6889,0.2038,122.0324,123.5964,94.2198,103.3034,49.4134,-4.306,16.353,104.7521,16.9104
SA-05-B-01,SA,05,SA-05,B,01,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-14,133,74,2020-07-14,12.46,11.7,1.06,0.9626,21,2020-07-14,2020-07-14,foil,placed in -20 freezer,ripe,include,,2020-07-14,sa-05-b-01-400dpi.tmt,671.7838,32193,208,208,192,194,218.609,1.3518,9506,0.2953,15.1442,0.1971,119.5343,124.4017,71.3156,92.351,49.226,-8.8131,28.2558,107.3229,29.5983,686.2275,29760,204,204,189,191,240.372,1.5485,13371,0.4493,21.8819,0.201,121.8161,120.0632,96.4296,103.3852,48.3681,-2.0121,13.7728,98.3115,13.919
SA-05-B-02,SA,05,SA-05,B,02,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-14,133,74,2020-07-14,14.6,13.15,1.11,1.4251,57,2020-07-14,2020-07-14,foil,placed in -20 freezer,ripe,include,,2020-07-14,sa-05-b-02-400dpi.tmt,754.0681,40723,233,234,216,217,242.5335,1.4264,11944,0.2933,16.9933,0.206,117.1035,123.8532,78.8126,95.4933,48.9838,-8.6538,23.9821,109.8417,25.4957,804.997,37708,227,229,207,209,253.4058,1.9848,16908,0.4484,23.771,0.2026,117.4433,118.9578,91.4911,99.7333,47.6318,-3.9155,15.3443,104.3152,15.836
SA-05-B-03,SA,05,SA-05,B,03,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-14,133,74,2020-07-22,15.17,13.02,1.17,1.5147,45,2020-07-22,2020-07-22,foil,liquid nitrogen,ripe,include,,2020-07-22,sa-05-b-03-400dpi.tmt,784.796,43762,248,249,217,218,226.8635,2.3248,12074,0.2759,16.4102,0.1976,123.7762,127.8798,71.5969,94.0231,50.5561,-8.9057,29.8506,106.6121,31.1508,802.3524,41129,232,238,228,230,266.0943,2.0317,18418,0.4478,25.7327,0.2026,119.3339,121.4242,91.4782,100.7136,48.4212,-4.5516,16.5636,105.3654,17.1776
SA-05-B-04,SA,05,SA-05,B,04,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-14,133,74,2020-07-22,13.11,11.37,1.15,0.9383,32,2020-07-22,2020-07-22,foil,liquid nitrogen,ripe,include,,2020-07-22,sa-05-b-04-400dpi.tmt,678.7128,32513,216,217,186,188,222.4243,2.8565,9030,0.2777,14.243,0.1991,116.4922,122.0078,68.1939,89.6593,48.2535,-9.1332,28.519,107.7577,29.9458,699.8427,31828,213,216,181,183,216.1544,2.9622,14295,0.4491,23.0957,0.2103,115.9292,119.0106,86.5171,97.2537,47.3303,-5.3075,17.7277,106.6674,18.5051
SA-05-B-05,SA,05,SA-05,B,05,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-14,133,74,2020-08-13,12.11,10.69,1.13,0.7637,1,2020-08-13,2020-08-13,foil,liquid nitrogen,ripe,include,,2020-08-13,sa-05-b-05-400dpi.tmt,642.6711,29323,183,185,196,196,226.7674,1.3976,10594,0.3613,18.1184,0.2077,112.2464,119.9156,74.1641,91.4279,47.3879,-9.1559,24.2734,110.6664,25.9428,636.529,27712,180,181,189,190,233.867,1.4111,12457,0.4495,22.0346,0.1944,119.8081,121.8154,93.9742,102.0849,48.6846,-4.1992,15.4089,105.2441,15.9708
