Species,Accession,Rep ,Fruit_num,Date_collected,Diameter_mm,Height_mm,Diam_hgt_ratio,Fresh_weight_grams,notes
SA,05,A,01,2020-07-30,12.91,10.47,1.23,0.9222,
SA,05,A,02,2020-07-30,12.09,10.67,1.13,0.8442,
SA,05,A,03,2020-07-30,13.90,10.95,1.27,1.1097,
SA,05,A,04,2020-08-05,13.55,12.15,1.12,1.1265,
SA,05,A,05,2020-08-05,10.99,9.42,1.17,0.5520,
SA,05,B,01,2020-07-14,12.46,11.70,1.06,0.9626,
SA,05,B,02,2020-07-14,14.60,13.15,1.11,1.4251,
SA,05,B,03,2020-07-22,15.17,13.02,1.17,1.5147,
SA,05,B,04,2020-07-22,13.11,11.37,1.15,0.9383,
SA,05,B,05,2020-08-13,12.11,10.69,1.13,0.7637,
SA,05,C,01,2020-07-10,15.31,13.28,1.15,1.5782,
SA,05,C,02,2020-07-10,14.69,11.72,1.25,1.2588,
SA,05,C,03,2020-07-10,13.91,12.05,1.15,1.2165,
SA,05,C,04,2020-07-14,14.17,12.30,1.15,1.2996,
SA,05,C,05,2020-07-14,14.41,11.86,1.22,1.2439,
SA,09,A,01,2020-06-19,22.53,18.99,1.19,5.0487,
SA,09,A,02,2020-06-19,22.59,18.96,1.19,5.1261,
SA,09,A,03,2020-07-08,19.45,16.86,1.15,3.2994,
SA,09,A,04,2020-07-08,22.78,18.65,1.22,5.1087,
SA,09,A,05,2020-07-30,24.04,19.67,1.22,6.0954,
SA,09,A,06,2020-07-30,17.64,15.63,1.13,2.7961,
SA,09,B,01,2020-07-15,21.15,17.73,1.19,3.8815,
SA,09,B,02,2020-07-15,18.52,16.02,1.16,2.8732,
SA,09,B,03,2020-07-27,21.03,17.40,1.21,3.8424,
SA,09,B,04,2020-07-27,20.71,17.08,1.21,3.6865,
SA,09,B,05,2020-07-27,21.19,19.06,1.11,4.4924,
SA,09,C,01,2020-06-23,21.14,19.05,1.11,4.5133,
SA,09,C,02,2020-06-23,20.63,18.46,1.12,4.4521,
SA,09,C,03,2020-06-23,20.58,18.28,1.13,4.1653,
SA,09,C,04,2020-06-30,21.49,19.32,1.11,4.5644,
SA,09,C,05,2020-08-07,17.49,14.76,1.18,2.3205,
SA,18,A,01,2020-07-30,15.03,13.96,1.08,1.7506,
SA,18,A,02,2020-07-30,14.40,13.98,1.03,1.6209,
SA,18,A,03,2020-07-30,13.23,13.74,0.96,1.4093,
SA,18,A,04,2020-08-05,15.55,14.47,1.07,1.8631,
SA,18,A,05,2020-08-05,13.35,13.16,1.01,1.3005,
SA,18,B,01,2020-07-23,15.36,14.93,1.03,1.9669,
SA,18,B,02,2020-07-23,15.71,15.16,1.04,2.0078,
SA,18,B,03,2020-08-06,15.42,14.52,1.06,1.8576,
SA,18,B,04,2020-08-06,14.57,14.76,0.99,1.8164,
SA,18,B,05,2020-08-06,14.24,13.45,1.06,1.5169,
SA,18,C,01,2020-07-27,13.93,13.32,1.05,1.4317,
SA,18,C,02,2020-07-27,13.47,13.67,0.99,1.4516,
SA,18,C,03,2020-08-07,16.01,15.03,1.07,2.1267,
SA,18,C,04,2020-08-07,13.12,12.46,1.05,1.1105,
SA,18,C,05,2020-08-28,13.38,12.91,1.04,1.2839,
SC,19,A,01,2020-07-22,13.05,12.25,1.07,1.1662,
SC,19,A,02,2020-07-22,11.54,10.75,1.07,0.7744,
SC,19,A,03,2020-07-22,13.80,13.00,1.06,1.3481,
SC,19,A,04,2020-08-05,13.67,13.28,1.03,1.3273,
SC,19,A,05,2020-08-05,13.39,12.60,1.06,1.2208,
SC,19,B,01,2020-07-20,12.39,11.55,1.07,1.0390,
SC,19,B,02,2020-07-20,12.56,11.61,1.08,0.9435,
SC,19,B,03,2020-08-06,11.37,10.81,1.05,0.7593,
